Date,LP_Value,FD_Value
2016-12-15,1083700.163964876,1024514.719035524
2016-12-16,1086772.1467423986,1024584.0308184968
2016-12-19,1088423.743185606,1024653.3472906394
2016-12-20,1090949.436886331,1024722.6684522688
2016-12-21,1088244.9619182413,1024791.9943037023
2016-12-22,1088774.7162722505,1024861.324845257
2016-12-23,1092815.535042434,1024930.6600772506
2016-12-26,1090431.5739803147,1024999.9999999999
2016-12-27,1091128.9229803607,1025069.3446138226
2016-12-28,1092263.3206091656,1025138.6939190361
2016-12-29,1093419.514225616,1025208.0479159578
2016-12-30,1090394.5253515558,1025277.4066049048
2017-01-02,1091951.38305962,1025346.7699861949
2017-01-03,1093355.3215077508,1025416.1380601452
2017-01-04,1092624.9030621278,1025485.5108270735
2017-01-05,1085251.1370515204,1025554.8882872971
2017-01-06,1078285.2425706726,1025624.2704411335
2017-01-09,1085895.479955029,1025693.6572889003
2017-01-10,1082994.320078507,1025763.0488309151
2017-01-11,1084638.6222469648,1025832.4450674956
2017-01-12,1076164.8969714083,1025901.845998959
2017-01-13,1076985.9881323886,1025971.2516256234
2017-01-16,1078084.001224049,1026040.661947806
2017-01-17,1079429.5854741812,1026110.0769658249
2017-01-18,1071392.995663988,1026179.4966799973
2017-01-19,1079374.633204355,1026248.9210906414
2017-01-20,1076801.2815085533,1026318.3501980746
2017-01-23,1073127.9705478027,1026387.784002615
2017-01-24,1071479.689196163,1026457.2225045798
2017-01-25,1074172.9775429252,1026526.6657042874
2017-01-26,1067753.458975479,1026596.1136020551
2017-01-27,1078051.5497685326,1026665.5661982014
2017-01-30,1079397.2208552693,1026735.0234930435
2017-01-31,1073910.066906735,1026804.4854868994
2017-02-01,1066164.813903513,1026873.9521800873
2017-02-02,1068639.5345175937,1026943.4235729252
2017-02-03,1068011.0622452595,1027012.8996657304
2017-02-06,1065160.8754553818,1027082.3804588217
2017-02-07,1066703.2314505507,1027151.8659525163
2017-02-08,1073089.5937358157,1027221.3561471326
2017-02-09,1071878.447849539,1027290.8510429888
2017-02-10,1075547.779627108,1027360.3506404028
2017-02-13,1076944.423800489,1027429.8549396925
2017-02-14,1076330.5400776544,1027499.3639411762
2017-02-15,1074718.730099764,1027568.877645172
2017-02-16,1073398.2569288446,1027638.3960519979
2017-02-17,1072551.303760433,1027707.9191619722
2017-02-20,1073736.6744758824,1027777.4469754132
2017-02-21,1074113.5095699583,1027846.9794926388
2017-02-22,1075131.2856393703,1027916.5167139674
2017-02-23,1070693.1178691408,1027986.0586397174
2017-02-24,1066320.5117350551,1028055.6052702068
2017-02-27,1065065.6002002798,1028125.1566057539
2017-02-28,1064845.0862943097,1028194.712646677
2017-03-01,1065782.7990146824,1028264.2733932948
2017-03-02,1070049.4797922974,1028333.8388459253
2017-03-03,1070251.4259655862,1028403.4090048868
2017-03-06,1068333.6906312248,1028472.983870498
2017-03-07,1070466.0145150856,1028542.5634430774
