Date,LP_Value,FD_Value
2015-10-07,1142048.7262099949,1003184.6569690681
2015-10-08,1104096.981257682,1003252.5257033418
2015-10-09,1089894.7447617957,1003320.3990291579
2015-10-12,1090126.010749671,1003388.2769468274
2015-10-13,1097836.3096863725,1003456.1594566609
2015-10-14,1109089.413817278,1003524.0465589687
2015-10-15,1092525.3906148572,1003591.9382540619
2015-10-16,1085014.9665437534,1003659.8345422512
2015-10-19,1099548.4690275148,1003727.735423847
2015-10-20,1125891.0301783509,1003795.6408991604
2015-10-21,1129402.5693846797,1003863.5509685018
2015-10-22,1133963.8610908028,1003931.4656321827
2015-10-23,1114775.5192060973,1003999.3848905131
2015-10-26,1122879.490972022,1004067.3087438046
2015-10-27,1117206.1650591588,1004135.2371923673
2015-10-28,1125624.9749809403,1004203.1702365127
2015-10-29,1128086.8868218772,1004271.1078765513
2015-10-30,1137109.345099721,1004339.0501127945
2015-11-02,1131960.832869554,1004406.9969455526
2015-11-03,1132585.64655225,1004474.9483751372
2015-11-04,1120876.4627507732,1004542.9044018588
2015-11-05,1134753.8855639636,1004610.8650260288
2015-11-06,1131311.0803697596,1004678.8302479578
2015-11-09,1155029.4479727133,1004746.8000679574
2015-11-10,1154342.227448669,1004814.7744863383
2015-11-11,1152867.6612661786,1004882.7535034118
2015-11-12,1147194.2102189132,1004950.7371194885
2015-11-13,1155429.4479727133,1005018.7253348803
2015-11-16,1159203.39402039,1005086.7181498979
2015-11-17,1155760.7139605882,1005154.7155648526
2015-11-18,1157960.0938257747,1005222.7175800555
2015-11-19,1134966.5399055174,1005290.724195818
2015-11-20,1133570.8083963932,1005358.7354124511
2015-11-23,1133460.832869554,1005426.7512302664
2015-11-24,1127000.1612982443,1005494.7716495747
2015-11-25,1112929.1907902332,1005562.7966706877
2015-11-26,1111979.4382904388,1005630.8262939167
2015-11-27,1115490.9774967676,1005698.8605195729
2015-11-30,1128712.3206393868,1005766.8993479678
2015-12-01,1125138.3745917098,1005834.9427794128
2015-12-02,1116840.729996562,1005902.9908142192
2015-12-03,1123501.4015678714,1005971.0434526983
2015-12-04,1108905.492242762,1006039.1006951618
2015-12-07,1110842.4652666005,1006107.1625419214
2015-12-08,1127212.9407742003,1006175.2289932879
2015-12-09,1127181.674786325,1006243.3000495734
2015-12-10,1126888.001957102,1006311.3757110893
2015-12-11,1132499.0461630195,1006379.455978147
2015-12-14,1144723.068120353,1006447.5408510581
2015-12-15,1146581.3316052272,1006515.6303301344
2015-12-16,1136840.386815464,1006583.7244156875
2015-12-17,1136415.4479983656,1006651.8231080289
2015-12-18,1143469.7923988984,1006719.9264074703
2015-12-21,1138767.384312463,1006788.0343143234
2015-12-22,1133487.6060944207,1006856.1468288999
2015-12-23,1137130.4112886246,1006924.2639515115
2015-12-24,1132769.1195825015,1006992.38568247
2015-12-25,1132869.1195825015,1007060.5120220872
2015-12-28,1139241.1060880076,1007128.6429706749
2015-12-29,1135929.5668816788,1007196.7785285449
2015-12-30,1133562.7924117248,1007264.918696009
2015-12-31,1137468.0044472767,1007333.0634733788
2016-01-01,1137568.0044472767,1007401.2128609666
2016-01-04,1143178.9235187918,1007469.3668590842
2016-01-05,1152306.3695600557,1007537.5254680434
2016-01-06,1152537.6355479306,1007605.6886881562
