Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2015-08-21,1214930.9242199904,1011285.5854548659,1173180.9242199904
2015-08-24,1249399.106812724,1011353.9554132145,1207399.106812724
2015-08-25,1257094.0636143337,1011422.3299938489,1214844.0636143337
2015-08-26,1260207.5715562946,1011490.709197082,1217707.5715562946
2015-08-27,1249862.7833264426,1011559.0930232261,1207112.7833264426
2015-08-28,1238945.3481240282,1011627.4814725936,1195945.3481240282
2015-08-31,1241199.7490675712,1011695.8745454974,1197949.7490675712
2015-09-01,1237727.2706667664,1011764.2722422497,1194227.2706667664
2015-09-02,1242988.2730256242,1011832.6745631637,1199238.2730256242
2015-09-03,1249108.3823828995,1011901.0815085511,1205108.3823828995
2015-09-04,1254655.7082280386,1011969.4930787255,1210405.7082280386
2015-09-07,1275379.407702252,1012037.909273999,1230879.407702252
2015-09-08,1287083.1663909478,1012106.3300946844,1242333.1663909478
2015-09-09,1276738.378161096,1012174.7555410945,1231738.378161096
2015-09-10,1296173.4171376827,1012243.1856135421,1250923.4171376827
2015-09-11,1274088.5467328539,1012311.6203123396,1228588.5467328539
2015-09-14,1270902.5283579042,1012380.0596378003,1225152.5283579042
2015-09-15,1273443.2527877286,1012448.5035902364,1227443.2527877286
2015-09-16,1263384.7880441581,1012516.9521699613,1217134.7880441581
2015-09-17,1252181.0293554622,1012585.4053772874,1205681.0293554622
2015-09-18,1254721.7537852866,1012653.8632125277,1207971.7537852866
2015-09-21,1262559.9405998238,1012722.325675995,1215559.9405998238
2015-09-22,1268794.4701199527,1012790.7927680025,1221544.4701199527
2015-09-23,1282817.6265489731,1012859.2644888627,1235317.6265489731
2015-09-24,1308523.655071544,1012927.7408388888,1260773.655071544
2015-09-25,1301214.141567507,1012996.2218183939,1253214.141567507
2015-09-28,1306045.7269667296,1013064.7074276906,1257795.7269667296
2015-09-29,1316890.3786570078,1013133.1976670923,1268390.3786570078
2015-09-30,1320147.116611896,1013201.6925369118,1271397.116611896
2015-10-01,1307368.3739392923,1013270.192037462,1258368.3739392923
2015-10-02,1317640.3786570078,1013338.6961690562,1268390.3786570078
2015-10-05,1306150.2964820305,1013407.2049320077,1256650.2964820305
2015-10-06,1292655.8133635104,1013475.7183266291,1242905.8133635104
2015-10-07,1290901.4124199674,1013544.2363532339,1240901.4124199674
2015-10-08,1249631.5030385517,1013612.7590121351,1199381.5030385517
2015-10-09,1234275.7124498421,1013681.2863036462,1183775.7124498421
2015-10-12,1234668.9424627698,1013749.8182280797,1183918.9424627698
2015-10-13,1243222.8697232234,1013818.3547857496,1192222.8697232234
2015-10-14,1255642.5053974094,1013886.8959769685,1204392.5053974094
2015-10-15,1237709.6668925942,1013955.44180205,1186209.6668925942
2015-10-16,1229655.6030925668,1014023.9922613072,1177905.6030925668
2015-10-19,1245654.6236942038,1014092.5473550537,1193654.6236942038
2015-10-20,1274539.0204159433,1014161.1070836027,1222289.0204159433
2015-10-21,1278511.4988167481,1014229.6714472674,1226011.4988167481
2015-10-22,1283629.407702252,1014298.2404463614,1230879.407702252
2015-10-23,1262833.061255476,1014366.8140811977,1209833.061255476
2015-10-26,1271816.5420151385,1014435.3923520901,1218566.5420151385
2015-10-27,1265767.015698228,1014503.9752593519,1212267.015698228
2015-10-28,1275094.0300255986,1014572.5628032965,1221344.0300255986
2015-10-29,1277921.214481278,1014641.1549842374,1223921.214481278
2015-10-30,1287906.895712712,1014709.7518024879,1233656.895712712
2015-11-02,1282430.0163683642,1014778.3532583618,1227930.0163683642
2015-11-03,1283252.6633409269,1014846.9593521727,1228502.6633409269
2015-11-04,1270617.1506812505,1014915.570084234,1215617.1506812505
2015-11-05,1285900.2942973974,1014984.1854548592,1230650.2942973974
2015-11-06,1282284.5858836651,1015052.8054643619,1226784.5858836651
2015-11-09,1308305.6112030174,1015121.430113056,1252555.6112030174
2015-11-10,1307696.6407441734,1015190.0594012549,1251696.6407441734
2015-11-11,1306228.5632869117,1015258.6933292722,1249978.5632869117
2015-11-12,1300178.9004304274,1015327.3318974219,1243678.9004304274
2015-11-13,1309305.6112030174,1015395.9751060173,1252555.6112030174
2015-11-16,1313564.4130901035,1015464.6229553723,1256564.4130901035
2015-11-17,1309948.841215945,1015533.2754458009,1252698.841215945
2015-11-18,1312489.5656457695,1015601.9325776164,1254989.5656457695
2015-11-19,1287541.1872989796,1015670.5943511329,1229791.1872989796
2015-11-20,1286159.1297732187,1015739.2607666642,1228159.1297732187
2015-11-23,1286180.0163683642,1015807.9318245238,1227930.0163683642
2015-11-24,1279271.383053036,1015876.6075250263,1220771.383053036
2015-11-25,1264058.8224772539,1015945.2878684847,1205308.8224772539
2015-11-26,1263163.3919925548,1016013.9728552136,1204163.3919925548
2015-11-27,1267135.8703933596,1016082.6624855264,1207885.8703933596
2015-11-30,1281703.1370240164,1016151.3567597374,1222203.1370240164
2015-12-01,1277944.3351369302,1016220.0556781602,1218194.3351369302
2015-12-02,1269031.3008780587,1016288.7592411091,1209031.3008780587
2015-12-03,1276439.9341933872,1016357.4674488982,1216189.9341933872
2015-12-04,1260654.5901054686,1016426.1803018411,1200154.5901054686
2015-12-07,1262908.9910490117,1016494.8978002522,1202158.9910490117
2015-12-08,1280912.412594192,1016563.6199444452,1219912.412594192
2015-12-09,1281019.1825812643,1016632.3467347347,1219769.1825812643
2015-12-10,1280839.6290820555,1016701.0781714345,1219339.6290820555
2015-12-11,1287102.9684522585,1016769.8142548584,1225352.9684522585
2015-12-14,1300582.0146796426,1016838.5549853214,1238582.0146796426
2015-12-15,1302750.5322312587,1016907.3003631368,1240500.5322312587
2015-12-16,1292262.6505280533,1016976.0503886194,1229762.6505280533
2015-12-17,1291939.8670159169,1017044.8050620833,1229189.8670159169
2015-12-18,1299778.053830454,1017113.5643838423,1236778.053830454
