Date,LP_Total_Value,FD_Benchmark,LP_Value_No_Fees
2023-06-06,1568163.080363036,1159967.8531738317,1019163.0803630359
2023-06-07,1567181.9083445421,1160046.275090398,1017931.9083445423
2023-06-08,1568043.6674825256,1160124.702308833,1018543.6674825256
2023-06-09,1563723.8429297158,1160203.1348294944,1013973.8429297158
2023-06-12,1564691.4938466612,1160281.5726527413,1014691.4938466612
2023-06-13,1564926.3664496667,1160360.0157789323,1014676.3664496666
2023-06-14,1564285.0205993727,1160438.4642084253,1013785.0205993727
2023-06-15,1563417.123970279,1160516.9179415796,1012667.123970279
2023-06-16,1560509.8201118382,1160595.3769787534,1009509.8201118383
2023-06-19,1561296.1223529081,1160673.8413203051,1010046.1223529081
2023-06-20,1564219.9798157304,1160752.3109665937,1012719.9798157302
2023-06-21,1566275.2725677802,1160830.7859179773,1014525.2725677802
2023-06-22,1563964.690494358,1160909.2661748154,1011964.690494358
2023-06-23,1567976.2798363143,1160987.7517374658,1015726.2798363144
2023-06-26,1573491.0642105776,1161066.2426062876,1020991.0642105776
2023-06-27,1575055.3468685118,1161144.7387816398,1022305.3468685118
2023-06-28,1572450.140729814,1161223.2402638807,1019450.1407298141
2023-06-29,1574951.061384996,1161301.7470533694,1021701.061384996
2023-06-30,1577882.4825463155,1161380.2591504646,1024382.4825463155
2023-07-03,1575352.8233485608,1161458.776555525,1021602.823348561
2023-07-04,1574250.8122421703,1161537.2992689095,1020250.8122421702
2023-07-05,1573329.9697235953,1161615.8272909771,1019079.9697235954
2023-07-06,1576646.6892881282,1161694.3606220866,1022146.689288128
2023-07-07,1576722.9943547796,1161772.899262597,1021972.9943547796
2023-07-10,1571542.078745665,1161851.4432128675,1016542.078745665
2023-07-11,1570704.3468665308,1161929.9924732565,1015454.3468665308
2023-07-12,1567902.7546989927,1162008.5470441235,1012402.7546989927
2023-07-13,1559949.7435906208,1162087.1069258272,1004199.7435906209
2023-07-14,1554942.5229148548,1162165.672118727,998942.5229148549
2023-07-17,1554376.724005504,1162244.2426231813,998126.7240055042
2023-07-18,1554989.3313132254,1162322.81843955,998489.3313132256
2023-07-19,1555904.0363406898,1162401.399568192,999154.0363406899
2023-07-20,1557664.7050274643,1162479.9860094662,1000664.7050274643
2023-07-21,1559062.8564505472,1162558.5777637318,1001812.8564505472
2023-07-24,1562946.043006109,1162637.174831348,1005446.0430061091
2023-07-25,1563755.0363426707,1162715.7772126745,1006005.0363426708
2023-07-26,1560968.4815280978,1162794.3849080699,1002968.4815280976
2023-07-27,1559685.1217458313,1162872.9979178936,1001435.1217458312
2023-07-28,1563749.6569772689,1162951.6162425051,1005249.6569772688
2023-07-31,1564324.4457925037,1163030.2398822636,1005574.4457925037
2023-08-01,1563411.2570164558,1163108.8688375286,1004411.2570164559
2023-08-02,1567362.4268144637,1163187.5031086593,1008112.4268144637
2023-08-03,1572741.1546598056,1163266.142696015,1013241.1546598056
2023-08-04,1572288.7211838844,1163344.7875999555,1012538.7211838845
2023-08-07,1571722.9222745337,1163423.43782084,1011722.9222745338
2023-08-08,1572713.1742429412,1163502.0933590278,1012463.1742429413
2023-08-09,1578530.0563369477,1163580.7542148784,1018030.0563369476
2023-08-10,1577541.3206199566,1163659.4203887517,1016791.3206199567
2023-08-11,1580314.1742449221,1163738.0918810067,1019314.1742449222
2023-08-14,1583358.9608396715,1163816.7686920033,1022108.9608396714
2023-08-15,1585459.5457386752,1163895.4508221012,1023959.5457386753
2023-08-16,1587620.5501816277,1163974.1382716598,1025870.5501816279
2023-08-17,1589539.876448786,1164052.8310410387,1027539.8764487859
2023-08-18,1587924.1641527875,1164131.5291305976,1025674.1641527874
2023-08-21,1587305.5093979854,1164210.2325406962,1024805.5093979854
2023-08-22,1587963.4088526608,1164288.9412716941,1025213.4088526608
2023-08-23,1588439.9596314607,1164367.6553239513,1025439.9596314606
2023-08-24,1584324.0848059885,1164446.3746978273,1021074.0848059885
2023-08-25,1588350.8015449394,1164525.099393682,1024850.8015449394
2023-08-28,1587573.5792537834,1164603.8294118752,1023823.5792537836
2023-08-29,1587596.938430954,1164682.5647527669,1023596.938430954
2023-08-30,1583586.7752963845,1164761.3054167163,1019336.7752963845
2023-08-31,1583965.2681268086,1164840.051404084,1019465.2681268087
2023-09-01,1584691.0607799003,1164918.8027152296,1019941.0607799002
2023-09-04,1587675.4278307008,1164997.5593505132,1022675.4278307006
2023-09-05,1588741.2267400513,1165076.321310294,1023491.2267400513
2023-09-06,1593387.3563595125,1165155.0885949333,1027887.3563595127
2023-09-07,1596084.6630435348,1165233.8612047902,1030334.663043535
2023-09-08,1597399.7038271774,1165312.6391402245,1031399.7038271774
2023-09-11,1596161.636191865,1165391.4224015968,1029911.6361918651
2023-09-12,1594175.8429336776,1165470.210989267,1027675.8429336777
2023-09-13,1594523.9909260832,1165549.0049035954,1027773.9909260831
2023-09-14,1595061.0512928613,1165627.804144942,1028061.0512928612
2023-09-15,1597773.4853738782,1165706.6087136667,1030523.4853738782
2023-09-18,1596845.1692008357,1165785.4186101297,1029345.1692008359
2023-09-19,1597601.2166479165,1165864.2338346916,1029851.2166479165
2023-09-20,1598546.0864253403,1165943.0543877124,1030546.0864253403
2023-09-21,1600231.2982152011,1166021.8802695519,1031981.2982152012
2023-09-22,1600722.9763909956,1166100.711480571,1032222.9763909957
2023-09-25,1600414.0730984637,1166179.5480211296,1031664.0730984637
